,Date,cleaned_tweets,sentiment
0,23/06/2020,MSCloud: Connect people systems and operations in new ways. Discover how #Microsoft can help any organization resâ€¦ https://t.co/nE7RjbNpZU,1
1,23/06/2020,MSCloud: Join us on June 30 at 11:30 AM PT for an interactive session that will focus on Microsoft #Azure Active Diâ€¦ https://t.co/yccYzzJTgP,1
2,23/06/2020,@danny_yu1 @shanthakottage @Roseandfalcon Have you actually done an indepth analysis of Uber accounts?In Europe Ubâ€¦ https://t.co/jX8YsS582b,1
3,23/06/2020,Really disappointing that between both @gsuite and @Microsoft365 there is no good solution for my family domain. Afâ€¦ https://t.co/35uT93TGTJ,-1
4,23/06/2020,@cinnamon_msft Slightly off topic: You know of any Terminal theme repositories?,-1
5,23/06/2020,Will $TWTR Do Something About Nikki Haley Threatening Fake Cowards With Bigger Army?$aapl $amzn $abbv $brk $baâ€¦ https://t.co/xoZNYz5x8B,-1
6,23/06/2020,@dltmurphy @richturn_ms Fantastic!,1
7,23/06/2020,got 3 contracts for $289 Sold first for $191 second for $141 to secure some profits and let the 3rd ride free onâ€¦ https://t.co/MvQCoWe8Yn,1
8,23/06/2020,@cinnamon_msft @richturn_ms I've just checked and I'm on the old terminal preview app. Just installed the new one aâ€¦ https://t.co/rBS23WytGv,-1
9,23/06/2020,@caseywreiniche Thanks for providing us those information. We see that you've tried the account recovery form. Haveâ€¦ https://t.co/fCwpulbm0W,1
10,23/06/2020,@dltmurphy @richturn_ms This update wonâ€™t go into the Windows Terminal build until July however itâ€™s currently avaâ€¦ https://t.co/ch8nmt4omI,-1
11,23/06/2020,@msft_fml Supper stoked for the new epppppp,1
12,23/06/2020,@richturn_ms To clarify 1.1 is only in the Preview build right now so youâ€™d need Windows Terminal Preview installed to get it ðŸ‘�,-1
13,23/06/2020,@msft_fml Agreeed lol,1
14,23/06/2020,Indian and Chinese military agree to disengage ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/CxzGw7EA0i,1
15,23/06/2020,#TeamsTips101: Channels in #MicrosoftTeams provide a space where conversations can be seen and searched for by theâ€¦ https://t.co/NYHOoTBZb0,-1
16,23/06/2020,@AlessioUrban Yep because is way bigger. MSFT is 36x the side of Russell 2000 index.... and it trades at only 11.5xâ€¦ https://t.co/adXi09e50H,1
17,23/06/2020,@Shrek2At4K60FPS Hmm can you tell us which version of Edge you're currently running? https://t.co/jvC8tZRDGq,-1
18,23/06/2020,Microsoft Corp. (MSFT) surprised the market with Q2 result. Goldman Sachs changed the rating to Sell as Microsoftâ€¦ https://t.co/yiinePK96R,-1
19,23/06/2020,MSFT making excel even harder to replace. https://t.co/zC5bGZD74G,-1
20,23/06/2020,$NDX $QQQ $SOXX $AAPL $MSFT $NVDA $FB $AMZN $NFLX ...How Much Higher Could Nasdaq Rally?â€¦ https://t.co/WgO2aF9Pnc,1
21,23/06/2020,Here's your friendly #Azure tidbit for the day: Microsoft manages their regions in pairs. When building your multi-â€¦ https://t.co/CBMTWoxJvA,1
22,23/06/2020,$CBL OVERSOLD BOUNCING AFTERHOURS! ðŸ’¸ðŸ“ˆ $RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT $ASMB $JNJâ€¦ https://t.co/wimxvxUb8U,0
23,23/06/2020,@saxena_puru No worries. Not asking for a call. I know you are expressing your opinion. Just curious as to whetherâ€¦ https://t.co/DZdVtggMiK,1
24,23/06/2020,Shopping Centre accused killer Jayden Lowah ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/h3OyT5PD1E,1
25,23/06/2020,@7Innovator Mine would be $MSFT,-1
26,23/06/2020,Bravo to all of today's speakers at #SMX Next! ðŸ‘� Tune in tomorrow at 12:55 PM PDT to watch our own Matthew Mackâ€¦ https://t.co/OnwZrcboHV,1
27,23/06/2020,@CPoweredLion Awesome!  For the record PS7 ARM32 is fully supported on Linux and Windows.  ARM64 on Linux is suppoâ€¦ https://t.co/luQbIh93F6,1
28,23/06/2020,@BLXCKAMIR Not sure... I guess I'll find out with my AAPL MSFT &amp; BA puts lol,-1
29,23/06/2020,@c_tolkien Hey Chad thanks for reaching out. Our team is currently reviewing a feature for setting default backgroâ€¦ https://t.co/73JdWvzyk7,1
30,23/06/2020,@d3dal3 Thanks for flagging this Vianney. Just to confirm is the error message similar to this one:â€¦ https://t.co/699sHLvkOl,1
31,23/06/2020,Automatically scan emails for contact details and update contacts in #MSDyn365 without manual data entry. Tryâ€¦ https://t.co/xwpEjWVxTO,-1
32,23/06/2020,Get what you need from your data and take action. Visualize share and collaborate faster than ever before with Miâ€¦ https://t.co/QgT5fO0bvi,1
33,23/06/2020,Discover the best formatting style for your #cpp projects with the new #Clang Format Editor from @ClangPowerTools:â€¦ https://t.co/e0qpQ4MTjn,1
34,23/06/2020,Extend bots built with Power Virtual Agents with Bot Framework Skills. Read the blog for more #MSBuild updates:â€¦ https://t.co/jQDiDpirbP,1
35,23/06/2020,Connect people systems and operations in new ways. Discover how #Microsoft can help any organization respond andâ€¦ https://t.co/kGyRCwRiuV,1
36,23/06/2020,Maximize value and performance when you move your #SQL Server workloads to #Azure Virtual Machines. Read the Packtâ€¦ https://t.co/cmiskUov3e,-1
37,23/06/2020,This month on â€œWhat's New with Microsoft 365â€� we cover the new support experience in the @MicrosoftTeams Admin andâ€¦ https://t.co/15aGBIHA0M,1
38,23/06/2020,@saxena_puru $MSFT $FB $AAPL $NVDA $SHOP $AMZN all at all time highs today. Wow!,0
39,23/06/2020,This red dev symbol appears on the @Skype toolbar icon associated w the MSFT store skype app. Is this a #dogfood veâ€¦ https://t.co/HOTceZpGlH,-1
40,23/06/2020,TInternet Association whose members include Amazon (AMZN) Google (GOOGL) Facebook (FB) Microsoft (MSFT) Twitteâ€¦ https://t.co/OVDYJBc90z,1
41,23/06/2020,Nikki Haley Was A #Boeing BOD Member But Certainly Not For Her Judgement &amp; Brains As Evidenced By This Tweet.â€¦ https://t.co/FCx1G3AOR0,1
42,23/06/2020,95% of Americans want to see the criminal ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/ofMEQOux6H,1
43,23/06/2020,repost MSFTDynamics365Find out why 75% of business leaders believe #AI will revolutionize their companies in the neâ€¦ https://t.co/vpjb2YXyvN,1
44,23/06/2020,repost MSFTDynamics365Join gemmamilne for a look at how companies are adapting to a disrupted world and preparing fâ€¦ https://t.co/Yj6fdwfMaa,-1
45,23/06/2020,Microsoft VPs make the pitches... They Digitally Democratize the value message...A Microsoft executive asked meâ€¦ https://t.co/fWPMy3VmBL,-1
46,23/06/2020,@oddparadoxx Hey let's sort this out. Follow these steps to troubleshoot blue screen errors and let us know how itâ€¦ https://t.co/8Ib20KRvXn,-1
47,23/06/2020,@raghavpurohit87 We understand your frustration. Check out this thread to learn more about how to remove Edge andâ€¦ https://t.co/KypVPDlW5W,-1
48,23/06/2020,6/23/2020 Stock Indexes rose once again with Dow up 131 Points Nasdaq up 74 Points S&amp;P500 up 13 Points Vix downâ€¦ https://t.co/IzjauVdWgg,0
49,23/06/2020,@darktears Not at all Alexis! Each of our users is very important to us. Would you consider sharing your thoughtsâ€¦ https://t.co/Lwzu8PAF6x,1
50,23/06/2020,More gains for stocks as Nasdaq marches higher. - https://t.co/3dRxuHCYv4#Covid19 #Trump #WallStreet $DOW $DIAâ€¦ https://t.co/XblWm0rQyx,1
51,23/06/2020,An 8-year-old girl her mother and her ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusinessâ€¦ https://t.co/qaCSuV4qOp,1
52,23/06/2020,@SagarYogendra @MarieHyde @Dawnnewyorker Congressman Raja @CongressmanRaja is another Fortune 500 #H1B #S386â€¦ https://t.co/WHMD1WRmcM,1
53,23/06/2020,@Microsoft @Windows MSFT should also address homelessness and poverty,-1
54,23/06/2020,@MarkhamAllen We appreciate your honesty and feedback Allen. You can keep track of known issues and notificationsâ€¦ https://t.co/hq7nbRTKww,1
55,23/06/2020,@MikeySoltis MSFT not so much imo,-1
56,23/06/2020,@ItsHer_Nessa Thanks. Do you want to check out my cart? ðŸ˜©,1
57,23/06/2020,@saxena_puru Does this include $MSFT or is that more of a cloud play now? Thanks Puru,1
58,23/06/2020,@schaudenfraud I think it's useful to compare consumer staples to $MSFT generally though. $MSFT these days is a defâ€¦ https://t.co/v4HT4C27ru,-1
59,23/06/2020,@maddyleger1 Answered. Not it's your turn @maddyleger1 and @davidortinau ... Does MSFT have any published app of yoâ€¦ https://t.co/WwEaBUqFEG,-1
60,23/06/2020,$MSFT Microsoft Option Alert: Jul 2 $195 Calls Sweep (9) near the midpoint: 593 @ $9.401 vs 7396 OI; Earnings 7/16â€¦ https://t.co/dKQ8N6G2aB,1
61,23/06/2020,Mel Gibson accused of anti-Semitic oven dodger ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/bo69m2zuMK,1
62,23/06/2020,@msft_fml Dayum!! That makes me no producer mine are probably sh*t f*ck and c**t even worse on a full moonâ€¦ https://t.co/KTYybk0Uez,-1
63,23/06/2020,@thallanor MSFT is too used to winning by default to be good at marketing. Like... the original name for OneDrivâ€¦ https://t.co/KiubcClDqQ,1
64,23/06/2020,@DarrenAlexand Hi Darren. Learn more about Surface power supplies and charging requirements here: https://t.co/7ZvxWtncQV,1
65,23/06/2020,Test your #AzureMigration readiness with the SMART tool so your team can go forward together with confidence. Startâ€¦ https://t.co/zI2veszyjp,1
66,23/06/2020,Did you miss the Microsoft Envision Forum for Financial Services series?Get the recap: https://t.co/k6EXINEnoA https://t.co/sU5XSb6Nvv,-1
67,23/06/2020,Find out why 75% of business leaders believe #AI will revolutionize their companies in the next three years. Learnâ€¦ https://t.co/IKITa3lFQS,1
68,23/06/2020,ðŸŒˆ Show your colors with the special theme inspired by the rainbow flag of the LGBTQI+ community. ðŸŒˆ Now availableâ€¦ https://t.co/fJV7HNWBu0,1
69,23/06/2020,Join us on June 30 at 11:30 AM PT for an interactive session that will focus on Microsoft #Azure Active Directory aâ€¦ https://t.co/ByitmTyo44,1
70,23/06/2020,Now in public preview #CloudScript using Azure Functions with more languages (like C#) and local debugging in Visuâ€¦ https://t.co/n00fsGthnH,1
71,23/06/2020,Trying to make your website's performance more consistent for farther away users but want to avoid putting an entiâ€¦ https://t.co/GqPYuTHtVt,-1
72,23/06/2020,Experience unmatched time to insight with #AzureSynapseAnalytics and discover how you can get:â–« Limitless scaleâ–«â€¦ https://t.co/SNm10CegYX,1
73,23/06/2020,Discover whatâ€™s new in #SQLServer 2019â€”unlock faster querying speeds take advantage of improved security featuresâ€¦ https://t.co/t3C0YowwXJ,1
74,23/06/2020,Find out how you can take advantage of offers and tools to maximize your efficiency. Here are five tips to help youâ€¦ https://t.co/7FxxdPDXaA,1
75,23/06/2020,Improving Productivity With #Devops And Microsoft #Teams https://t.co/Hpzne4VPGK #MSDevIRL #Azure #Developers,1
76,23/06/2020,Azure Security Center discovered a new campaign that targets Kubeflow a machine learning toolkit for #Kubernetes.â€¦ https://t.co/iC6JhLttmP,1
77,23/06/2020,S&amp;P500 +0.43%Russell2000 +0.41%SOX +0.22%DJT +1.32%HYG +0.14%STOXX600 +1.30%DAX +2.13%FTSE +1.21%FB +1.26%â€¦ https://t.co/TCKuZ7tX10,0
78,23/06/2020,MSCloud: Donâ€™t miss this fireside chat with Craft Worldwide for insight into the tools you can use to help your remâ€¦ https://t.co/xMuKM7D8i9,-1
79,23/06/2020,@cspkcats A higher configuration of Surface Pro 7 would be perfect for what you're looking for! It offers the powerâ€¦ https://t.co/aZkb0iouEw,1
80,23/06/2020,Former employees at #Microsoft's Mixer say the company failed to take action on #misconduct complaints about 'toxicâ€¦ https://t.co/AzAoVkvoS0,-1
81,23/06/2020,MSFT  BULLISH,0
82,23/06/2020,@TraderYet Options? $MSFT I sold too last week but bought back and kept selling higher few more times ðŸ˜‚,-1
83,23/06/2020,@optionsappetite I thought the same thing. How dare you $MSFT! Shame,-1
84,23/06/2020,$MSFT 200 call options. Sold! https://t.co/UumnK3I2Su,-1
85,23/06/2020,@PeterTrader99 Sold my MSFT last week and now I own none of these forkers.,-1
86,23/06/2020,$CBL traders jumping in FINALLY twitter search just got hot again the last 5 minutes. SHORT SQUEEZE!!!$CBL OVERSOLâ€¦ https://t.co/gUMWxbGBvo,1
87,23/06/2020,Itâ€™s time to #BreakUpBigTech #BreakUpBigData.You up @TheJusticeDept @JusticeATR @FTC @ewarren @senblumenthalâ€¦ https://t.co/w8vXoUIRAV,-1
88,23/06/2020,@ambatthew @DuckDuckGo it's been a big part of their marketing for the past couple of years and while it should ofâ€¦ https://t.co/SLSigUhK7S,1
89,23/06/2020,@cperruna Same. I won't be the least surprised if it keeps going for a bit more but the headwinds are growing now -â€¦ https://t.co/h5Yu5bkcvq,1
90,23/06/2020,Florida man spat on gay bartender's face after ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/LRKzSJSfuu,1
91,23/06/2020,@mannys_msft Hey good to connect with you today #MSTeams,1
92,23/06/2020,@nzigel Whatâ€™s crazy is it was only like a year-ish ago that they MSFT and AAPL hit the 1T mark and theyâ€™ve grown ~50% since then,-1
93,23/06/2020,@Njabs_MSFT Zara for the babies,1
94,23/06/2020,@ysharad28 Hey there. We have tons of educational resources you might like check it out: https://t.co/xLEutmkmqR,1
95,23/06/2020,@rationalwalk I understand why people felt that way about Buffet... His purchase of IBM and refusal to buy MSFT eveâ€¦ https://t.co/eeCECr89fi,-1
96,23/06/2020,@clint_francis Yup! I donâ€™t really play enough for it to be a tough decision. Disappointing move outta MSFT.,-1
97,23/06/2020,Tuesday's Top Sell Flow in #NASDAQ animated. #NASDAQ100 $MSFT $NVDA $ADBE $ORCL $EBAY $BIIB $AMGN $DELL $INTU $VRTXâ€¦ https://t.co/dyqjtGTpk1,1
98,23/06/2020,@msft_businessCA You see when certain people couldn't get fired they wanted to fire you instead. #H,-1
99,23/06/2020,Former employees at Microsoft's Mixer say the company failed to take action on misconduct complaints about 'toxic wâ€¦ https://t.co/AjF54ZhjZ5,-1
100,23/06/2020,@sam_kriss Oh yeah I totally agree there. People already hitting out on him when he did nothing wrong,1
101,23/06/2020,Trumpsky:  Slow down the testing pleaseTrumpsky lapdogs: He's just kiddingTrumpsky: I don't kidTrumpsky lapdâ€¦ https://t.co/tjrpt6BsuT,-1
102,23/06/2020,Start using #Azure Synapse Analytics in just a few minutes and start gaining valuable insights faster. Get the toolâ€¦ https://t.co/41mlt06lrG,1
103,23/06/2020,@MSFT__Incel i liked the display personally but now he has a huge undeserved target on his back as a result of someone elses understanding,-1
104,23/06/2020,Straight from #MSBuild @ErikaSweet_ and @NickUhlenhuth are ready to give you a detailed look at developing softwarâ€¦ https://t.co/WU0VHxLsMo,1
105,23/06/2020,@adhall_msft Thanks I'll see what the lawyer says tomorrow when she's back in the office.,1
106,23/06/2020,@acczibit Yeah I wanna kms,-1
107,23/06/2020,@sam_kriss Is it? Idk no one is thrown under the bus. An innocuous symbol of unity doesnt hurt anyone,-1
108,23/06/2020,Get hands-on guidance for deploying and managing #Linux workloads on #Azure. Download the complimentary e-book:â€¦ https://t.co/XuaXTQr2V4,1
109,23/06/2020,The June 2020 release is full of updates and enhancements! Check out the full #PowerBI Desktop Update video to learâ€¦ https://t.co/fSUvF4Xzng,1
110,23/06/2020,You donâ€™t need to be a professional developerâ€”just follow these easy steps to start creating your own low-code app:â€¦ https://t.co/VTjmWFfDbO,-1
111,23/06/2020,Don't know where to start when it comes to compliance? Discover our 8 tips to focus your compliance strategy â€” to pâ€¦ https://t.co/gX5wDSHikh,1
112,23/06/2020,Join @gemmamilne for a look at how companies are adapting to a disrupted world and preparing for tomorrow. Listen tâ€¦ https://t.co/qWJDSeNXbj,-1
113,23/06/2020,Discover how enterprises are taking advantage of #Azure Maps capabilities to optimize business operations using locâ€¦ https://t.co/nTySL1N3Nm,-1
114,23/06/2020,Easily manage and share templates in Office 365 #MicrosoftTeams and more across your organization with theâ€¦ https://t.co/FUnUG9U9X1,1
115,23/06/2020,A journey to good mental health both for yourself and within your community is more than possibleâ€”it's a necessitâ€¦ https://t.co/BJVekQFesi,1
116,23/06/2020,Learn the basics of Mesh Shaders in #DirectX12: https://t.co/4fWcbj73OM,-1
117,23/06/2020,Yuri Diogenes joins @shanselman to reveal how #Azure Security Center helps you identify and implement security bestâ€¦ https://t.co/zHwDFXdgSu,1
118,23/06/2020,Discover how @OTILumionics can open its computational pipeline to run more accurate simulations at significantly hiâ€¦ https://t.co/zowZsAu3Xz,-1
119,23/06/2020,People want to make Bubba Wallace a Jussie Smollett so badly. Pretty sad you can't help but criticize a black guy fâ€¦ https://t.co/iLdxdBFLw2,-1
120,23/06/2020,@CalebJHull Why? He didnt use it to attack any fellow drivers or use it for any purpose other than racism is badâ€¦ https://t.co/vCcNfNDr2s,-1
121,23/06/2020,@PuneethHardekar 2/2 details about your main concern for us to check if we can provide you options In case you missâ€¦ https://t.co/xzWdWppmIU,1
122,23/06/2020,Anyone catch that insane $FSLY bull run? ðŸ˜±RC did in our FREE trading room! ðŸ’°Join today and start making money wâ€¦ https://t.co/XZeSzeJMLP,1
123,23/06/2020,Moose trapped in thick mud pulled to safety by ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/6jQjmSD9td,-1
124,23/06/2020,@jkwphysics We understand your frustration. You can keep track of known issues and notifications here: https://t.co/EE2s20CHKw,-1
125,23/06/2020,Scalper caught both sides on $MSFT More details at https://t.co/u0M7Qrcf6m https://t.co/XamFeU4uhR,-1
126,23/06/2020,@ultimatejisoo Let's have you run through these troubleshooting steps and keep us updated with the results! https://t.co/qqyoHNgZSG,1
127,23/06/2020,Learn how @Kennametal is creating the factories of the future including the migration of SAP to #Azure:â€¦ https://t.co/2SdEkO67Ue,1
128,23/06/2020,@gavinbarron Sorry mate know a few people who are now wondering â€œso what happens nowâ€� ... so short sighted.,-1
129,23/06/2020,Digitize pen-and-paper tasks and automate complex processes. See how process automation lets you do more with less:â€¦ https://t.co/zDksswWflP,-1
130,23/06/2020,Donâ€™t miss this fireside chat with Craft Worldwide for insight into the tools you can use to help your remote teamsâ€¦ https://t.co/PKcEvTwteo,-1
131,23/06/2020,@janne_rantala @Taylorb_msft @windowsserver Absolutely! It may not be the coolest feature request in the backlog bâ€¦ https://t.co/uhwk66hPM0,-1
132,23/06/2020,Where can I find nice black formal pants?,-1
133,23/06/2020,@JerryCap Equal weighted portfolio of: $V $MCO $AMZN $AAPL $SHOP $ADBE $HD $TSLA $MSFT $VRSN $NOW $NKE $ECL $EQIXâ€¦ https://t.co/JEBjy76QFn,0
134,23/06/2020,Learn why The PUR Company chose Microsoft 365 to help it keep pace with its rapid growth and delectables-driven sucâ€¦ https://t.co/ySD8JcFSGX,1
135,23/06/2020,@sociallydista19 @cyb3rops I mean empire (just used as an example here) was introduced at a time when there was 0â€¦ https://t.co/lCGosMPMBJ,-1
136,23/06/2020,Miss. St. RB Kylin Hill vows not to play unless ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/T66yOXdfFh,-1
137,23/06/2020,@Nkanyiso_ngqulu This is atrocious,-1
138,23/06/2020,@WaviiiKy Hi there. You can learn more about your language settings in Windows 10 here: https://t.co/KQOu7iX9dq,1
139,23/06/2020,I wanna be in a band so bad lmao,-1
140,23/06/2020,âš¡ How #Blockchain enables the divergence of free speech #1A including reinventing #SocialMedia. $FB $TWTR $MSFTâ€¦ https://t.co/vscJshIZSW,1
141,23/06/2020,@ryancrawcour Public preview today so would be a preflight for now.,1
142,23/06/2020,Abusers hate it when you have friends and family so they work hard to destroy that for you so they can start abusinâ€¦ https://t.co/X9Mw76QPVY,-1
143,23/06/2020,#Microsoft $MSFT Has An Excellent #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Exâ€¦ https://t.co/YhEXZd3v8B,1
144,23/06/2020,Address feedback from customers for the UX[NuGet\NuGetGallery #8070 t-mog-msft] https://t.co/9WSm0qlt1B,1
145,23/06/2020,@adhall_msft Can't find the app in the store. Is this enterprise distribution only?,-1
146,23/06/2020,Watch into earnings this coming week: $NKE $KBH $MLHRNext month long swing into March 2021: $NFLX $AMZN $AAPL $MSFT $NVDA $STMP $TEAM $SPLK,0
147,23/06/2020,#HappyTuesday Friends ... #Stocks RECORDS FOR #Nasdaq $AAPL $AMZN $FB $NFLX $MSFT $PYPL $PTON and more  Have a greaâ€¦ https://t.co/e5Js5wDxKs,0
148,23/06/2020,$TSLA $MSFT $GOOGL $AMD $AAPL $SHOP $FB CONGRATS TO OUR VIP MEMBER! ðŸ’°ðŸ’¸ #BTF #BullTradeFinder https://t.co/gVHezERwsD,1
149,23/06/2020,P/B among largest #stocks $SPX $SPY1. ðŸ‡ºðŸ‡¸ APPLE INC. $AAPL: 19.332. ðŸ‡ºðŸ‡¸ MICROSOFT CORPORATIO. $MSFT: 12.923. ðŸ‡ºðŸ‡¸ ALâ€¦ https://t.co/eZqUTtYMAk,0
150,23/06/2020,$MSFT - Microsoft Corporation$DDOG - Datadog Inc.$NVDA - NVIDIA Corporation$AMD - Advanced Micro Devices Inc. https://t.co/4qWBQ3rlNc,0
151,23/06/2020,Learn how @PwC took advantage of Cognitive Search to help financial institutions meet regulatory requirements fasteâ€¦ https://t.co/jYo2365jtp,1
152,23/06/2020,The 3 Components of Mental Strength https://t.co/1iR7fXKTY4 #MSFTAdvocate,1
153,23/06/2020,@lukepooped We see your point. In that case we've a dedicated team of experts that could provide insights for yourâ€¦ https://t.co/tYcmSPGGWp,1
154,23/06/2020,Gain more insight into your organizationâ€™s network and improve your security operations capabilities. Learn howâ€¦ https://t.co/HpGI5sqVNw,1
155,23/06/2020,Simplifying declarative deployments in Azure https://t.co/4dto3koe8N #MSDevIRL #Azure #Developers,1
156,23/06/2020,@DeepeshKrSingh Hi there thank you for that great suggestion. Can you post that idea at the following link? https://t.co/vDOsriQHYV,1
157,23/06/2020,@adhall_msft Yes. Still to bad to keep up with here and Sygic.,-1
158,23/06/2020,I used to be a die hard fan of MSFT product but God opened my eyes.Shitty apps. So much bugs.You would this worâ€¦ https://t.co/S8EPx3jUBv,-1
159,23/06/2020,@expta @RossSmithIV @gregtaylor_msft @mealiffe @FeverTreeMixers So a Suffering Bastard for a Suffering Bastard I get it @expta,-1
160,23/06/2020,$QQQ $AAPL $MSFT $FSLY $TWLO $SHOP and many others hit all time highs today. 19 of the last 22 trading sessions havâ€¦ https://t.co/BghmeOTjwc,1
161,23/06/2020,A #BuildChallenge brings out the creativity in students! See what learners around the world developed for May's Codâ€¦ https://t.co/S0RRhKS9Gk,1
162,23/06/2020,$CBL what did i tell u!!? .355 already getting chopped down!ðŸ’¸ $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $vâ€¦ https://t.co/QGE0Tn9d8G,-1
163,23/06/2020,@GossiTheDog I love what MDATP is doing in that space but the rest of Msft needs to keep up. Especially when the Mâ€¦ https://t.co/9MlCsdpxdG,1
